tcp        0      1 127.0.0.1:54194         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54196         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54198         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54200         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54202         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54204         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54206         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54208         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54210         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54212         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54214         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54216         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54218         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54220         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54222         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54224         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54226         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54228         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54230         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54232         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54234         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54236         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54238         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54240         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54242         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54244         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54246         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54248         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54250         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54252         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54254         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54256         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54258         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54260         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54262         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54264         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54266         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54268         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54270         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54272         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54274         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54276         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54278         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54280         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54282         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54284         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54286         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54288         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54290         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54292         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54294         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54296         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54298         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54300         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54302         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54304         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54306         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54308         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54310         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54312         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54314         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54316         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54318         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54320         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54322         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54324         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54326         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54328         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54330         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54332         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54334         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54336         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54338         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54340         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54342         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54344         127.0.0.1:12344         SYN_SENT   
tcp        0      1 127.0.0.1:54346         127.0.0.1:12344         SYN_SENT   
